,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
16,2013-09-12,2013,0,0,NE,NYJ,1641.78,1438.095,0.824433007,13,10,1.0
17,2013-09-15,2013,0,0,TB,NO,1463.3570000000002,1552.4720000000002,0.46535134799999994,14,16,0.0
18,2013-09-15,2013,0,0,CHI,MIN,1543.93,1507.2579999999998,0.642279378,31,30,1.0
19,2013-09-15,2013,0,0,BUF,CAR,1437.901,1502.0629999999999,0.501205977,24,23,1.0
20,2013-09-15,2013,0,0,PHI,LAC,1432.0529999999999,1477.246,0.528473724,30,33,0.0
21,2013-09-15,2013,0,0,GB,WSH,1589.7020000000002,1490.0710000000001,0.720650827,38,20,1.0
22,2013-09-15,2013,0,0,NYG,DEN,1548.787,1635.606,0.468641149,23,41,0.0
23,2013-09-15,2013,0,0,BAL,CLE,1601.5079999999998,1395.549,0.826319685,14,6,1.0
24,2013-09-15,2013,0,0,SEA,SF,1617.2939999999999,1638.3970000000002,0.562838846,29,3,1.0
25,2013-09-15,2013,0,0,IND,MIA,1518.402,1508.336,0.60637851,20,24,0.0
26,2013-09-15,2013,0,0,OAK,JAX,1393.469,1309.253,0.702442558,19,9,1.0
27,2013-09-15,2013,0,0,ARI,DET,1411.08,1459.884,0.523291049,25,21,1.0
28,2013-09-15,2013,0,0,HOU,TEN,1577.4129999999998,1487.703,0.709010334,30,24,1.0
29,2013-09-15,2013,0,0,KC,DAL,1393.945,1506.335,0.432220131,17,16,1.0
30,2013-09-15,2013,0,0,ATL,LAR,1570.97,1473.355,0.71830861,31,24,1.0
31,2013-09-16,2013,0,0,CIN,PIT,1541.995,1491.445,0.6604183929999999,20,10,1.0
