,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
208,2013-12-12,2013,0,0,DEN,LAC,1707.809,1499.326,0.82839499,20,27,0.0
209,2013-12-15,2013,0,0,TEN,ARI,1436.451,1536.214,0.45013830200000005,34,37,0.0
210,2013-12-15,2013,0,0,JAX,BUF,1331.614,1377.661,0.527248536,20,27,0.0
211,2013-12-15,2013,0,0,LAR,NO,1481.796,1643.194,0.36472565700000004,27,16,1.0
212,2013-12-15,2013,0,0,TB,SF,1441.925,1667.307,0.284299605,14,33,0.0
213,2013-12-15,2013,0,0,OAK,KC,1338.8629999999998,1534.5220000000002,0.320356564,31,56,0.0
214,2013-12-15,2013,0,0,PIT,CIN,1491.019,1626.485,0.39995925,30,20,1.0
215,2013-12-15,2013,0,0,NYG,SEA,1474.904,1713.28,0.269328435,0,23,0.0
216,2013-12-15,2013,0,0,MIN,PHI,1436.5620000000001,1536.4370000000001,0.44997872899999997,48,30,1.0
217,2013-12-15,2013,0,0,MIA,NE,1532.5279999999998,1663.533,0.406137673,24,20,1.0
218,2013-12-15,2013,0,0,DAL,GB,1515.0839999999998,1497.382,0.616819666,36,37,0.0
219,2013-12-15,2013,0,0,IND,HOU,1511.433,1358.029,0.778549673,25,3,1.0
220,2013-12-15,2013,0,0,CLE,CHI,1373.355,1531.98,0.36843214700000004,31,38,0.0
221,2013-12-15,2013,0,0,CAR,NYJ,1615.118,1393.358,0.838988776,30,20,1.0
222,2013-12-15,2013,0,0,ATL,WSH,1442.207,1369.001,0.689027712,27,26,1.0
223,2013-12-16,2013,0,0,DET,BAL,1489.335,1588.935,0.45037055600000003,16,18,0.0
