,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
192,2013-12-05,2013,0,0,JAX,HOU,1310.577,1379.065,0.49498053299999994,27,20,1.0
193,2013-12-08,2013,0,0,TB,BUF,1419.195,1400.391,0.618317886,27,6,1.0
194,2013-12-08,2013,0,0,BAL,MIN,1582.9879999999998,1442.51,0.765455626,29,26,1.0
195,2013-12-08,2013,0,0,DEN,TEN,1700.269,1443.991,0.864059558,51,28,1.0
196,2013-12-08,2013,0,0,CIN,IND,1611.443,1526.475,0.70334657,42,28,1.0
197,2013-12-08,2013,0,0,SF,SEA,1656.205,1724.3829999999998,0.495426618,19,17,1.0
198,2013-12-08,2013,0,0,PIT,MIA,1515.2420000000002,1508.305,0.60207121,28,34,0.0
199,2013-12-08,2013,0,0,WSH,KC,1400.4289999999999,1503.095,0.44600563600000004,10,45,0.0
200,2013-12-08,2013,0,0,PHI,DET,1515.4129999999998,1510.359,0.599471436,34,20,1.0
201,2013-12-08,2013,0,0,ARI,LAR,1512.8139999999999,1505.1970000000001,0.603008651,30,10,1.0
202,2013-12-08,2013,0,0,NYJ,OAK,1375.76,1356.461,0.618990131,37,27,1.0
203,2013-12-08,2013,0,0,NE,CLE,1662.144,1374.744,0.8837650290000001,27,26,1.0
204,2013-12-08,2013,0,0,NO,CAR,1617.8039999999999,1640.507,0.560571334,31,13,1.0
205,2013-12-08,2013,0,0,GB,ATL,1492.8239999999998,1446.766,0.654595487,22,21,1.0
206,2013-12-08,2013,0,0,LAC,NYG,1470.9460000000001,1503.285,0.5468649879999999,37,14,1.0
207,2013-12-09,2013,0,0,CHI,DAL,1505.896,1541.168,0.54267793,45,28,1.0
