,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
133,2013-11-07,2013,0,0,MIN,WSH,1405.635,1477.751,0.489760685,34,27,1.0
134,2013-11-10,2013,0,0,ARI,HOU,1466.66,1460.806,0.6005766539999999,27,24,1.0
135,2013-11-10,2013,0,0,GB,PHI,1610.1689999999999,1439.997,0.794743475,13,27,0.0
136,2013-11-10,2013,0,0,NO,DAL,1593.652,1539.639,0.6648746529999999,49,17,1.0
137,2013-11-10,2013,0,0,NYG,OAK,1460.136,1361.1229999999998,0.719934095,24,20,1.0
138,2013-11-10,2013,0,0,TEN,JAX,1476.5739999999998,1240.3319999999999,0.8499346179999999,27,29,0.0
139,2013-11-10,2013,0,0,PIT,BUF,1454.1,1401.9189999999999,0.662520797,23,10,1.0
140,2013-11-10,2013,0,0,CHI,DET,1554.882,1506.942,0.657040862,19,21,0.0
141,2013-11-10,2013,0,0,SF,CAR,1647.4289999999999,1592.42,0.666150947,9,10,0.0
142,2013-11-10,2013,0,0,ATL,SEA,1489.0220000000002,1677.6979999999999,0.329171133,10,33,0.0
143,2013-11-10,2013,0,0,LAC,DEN,1496.0729999999999,1675.1979999999999,0.341423665,20,28,0.0
144,2013-11-10,2013,0,0,BAL,CIN,1564.6589999999999,1592.0079999999998,0.553973029,20,17,1.0
145,2013-11-10,2013,0,0,IND,LAR,1592.904,1423.901,0.7936435709999999,8,38,0.0
146,2013-11-11,2013,0,0,TB,MIA,1362.004,1495.85,0.40219936,22,19,1.0
