,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
0,2013-09-05,2013,0,0,DEN,BAL,1608.906,1628.207,0.565389486,49,27,1.0
1,2013-09-08,2013,0,0,DAL,NYG,1487.509,1567.612,0.478278716,36,31,1.0
2,2013-09-08,2013,0,0,SF,GB,1624.1689999999999,1603.9289999999999,0.6202668179999999,34,28,1.0
3,2013-09-08,2013,0,0,LAR,ARI,1464.154,1420.28,0.651747431,27,24,1.0
4,2013-09-08,2013,0,0,BUF,NE,1444.7020000000002,1634.979,0.327139271,21,23,0.0
5,2013-09-08,2013,0,0,CHI,CIN,1532.011,1553.9129999999998,0.561706829,24,21,1.0
6,2013-09-08,2013,0,0,CLE,MIA,1422.474,1481.411,0.508724473,10,23,0.0
7,2013-09-08,2013,0,0,IND,OAK,1510.386,1401.486,0.731264749,21,17,1.0
8,2013-09-08,2013,0,0,DET,MIN,1432.974,1534.1689999999999,0.448098833,34,24,1.0
9,2013-09-08,2013,0,0,JAX,KC,1348.879,1354.319,0.58488385,2,28,0.0
10,2013-09-08,2013,0,0,NO,ATL,1533.575,1589.8670000000002,0.512529196,23,17,1.0
11,2013-09-08,2013,0,0,NYJ,TB,1431.781,1469.671,0.538935439,18,17,1.0
12,2013-09-08,2013,0,0,PIT,TEN,1521.3470000000002,1457.8,0.6769906109999999,9,16,0.0
13,2013-09-08,2013,0,0,CAR,SEA,1519.013,1600.3429999999998,0.476516531,7,12,0.0
14,2013-09-09,2013,0,0,WSH,PHI,1521.755,1400.368,0.7451536870000001,27,33,0.0
15,2013-09-09,2013,0,0,LAC,HOU,1490.7320000000002,1563.9270000000001,0.488208634,28,31,0.0
