,date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
147,2013-11-14,2013,0,0,TEN,IND,1454.9360000000001,1531.9089999999999,0.482776285,27,30,0.0
148,2013-11-17,2013,0,0,PIT,DET,1471.0120000000002,1522.16,0.519924075,37,27,1.0
149,2013-11-17,2013,0,0,PHI,WSH,1488.193,1456.4620000000002,0.635718375,24,16,1.0
150,2013-11-17,2013,0,0,NYG,GB,1468.526,1561.973,0.459152713,27,13,1.0
151,2013-11-17,2013,0,0,NO,SF,1615.884,1637.661,0.561883971,23,20,1.0
152,2013-11-17,2013,0,0,JAX,ARI,1261.97,1477.389,0.29611202600000003,14,27,0.0
153,2013-11-17,2013,0,0,HOU,OAK,1450.0770000000002,1352.734,0.717991684,23,28,0.0
154,2013-11-17,2013,0,0,DEN,KC,1689.4620000000002,1547.557,0.7669271809999999,27,17,1.0
155,2013-11-17,2013,0,0,CIN,CLE,1579.85,1442.4779999999998,0.7622304259999999,41,20,1.0
156,2013-11-17,2013,0,0,CHI,BAL,1539.664,1576.817,0.53998946,23,20,1.0
157,2013-11-17,2013,0,0,BUF,NYJ,1385.0079999999998,1448.786,0.5017585920000001,37,14,1.0
158,2013-11-17,2013,0,0,TB,ATL,1379.114,1469.213,0.463942339,41,28,1.0
159,2013-11-17,2013,0,0,MIA,LAC,1478.74,1481.809,0.5881937660000001,20,16,1.0
160,2013-11-17,2013,0,0,SEA,MIN,1697.507,1426.924,0.873445317,41,20,1.0
161,2013-11-18,2013,0,0,CAR,NE,1602.1870000000001,1658.3470000000002,0.512719038,24,20,1.0
